atlas	K	train_data	train_sess	test_data	test_sess	model_type	group_map_name	subj_num	indiv_test_kappa	dcbc_indiv	inhomo_indiv	task_name	test_run	train_smooth	test_smooth	test_type	strength	spatial_w
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128026		0.019586254	0.97248405	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128127		0.32070467	0.9164759	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128632		0.15802969	0.9491967	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128935		0.10865729	0.966558	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	129331		0.16267307	0.9473697	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	130316		0.17810784	0.9415444	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	130922		0.056281768	0.95281506	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	131217		0.00538825	0.9690374	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	132017		0.15055734	0.94121784	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	134021		0.2314828	0.9509594	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	134324		0.26250568	0.88884294	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	134425		0.15156128	0.9406214	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	135629		0.1522251	0.95231056	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	135730		0.1934937	0.9276616	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	135932		0.13575345	0.96118593	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	136126		0.13750738	0.9445871	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	136227		0.17732319	0.9343152	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	136631		0.1602585	0.9364144	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	138332		0.019798037	0.95006317	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	140824		0.0750131	0.9606475	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	143325		0.15723135	0.9502072	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100206		0.018849473	0.9747753	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100307		0.07821257	0.9625373	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100408		0.11623119	0.96321523	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100610		0.07018538	0.92983955	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101006		0.055592958	0.940643	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101107		0.05451471	0.9803227	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101309		0.002172968	0.9541039	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101915		0.07953633	0.9490113	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102008		0.012410544	0.9530448	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102109		0.051719345	0.9523751	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102311		0.05828315	0.9621102	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102513		0.060333442	0.95506597	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102614		0.071252145	0.94288415	LANGUAGE	1	6fwhm	sm0	Tseries	20	100
