subject	parcel	z_value	domain	contrast_name	dtype
14	SMOT-B	0.012192853	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	SMOT-B	0.0531956	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	AUD	0.090607114	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	AUD	0.05591205	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	AUD	-0.015495971	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	AUD	0.37736368	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	AUD	0.109975636	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	AUD	0.047547296	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	AUD	0.1620108	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	AUD	0.263008	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
13	AUD	0.36142382	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
14	AUD	0.18862778	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	AUD	0.41886175	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	PM-PPr	0.08635539	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	PM-PPr	-0.40223315	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	PM-PPr	-1.5280749	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	PM-PPr	-0.17661223	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	PM-PPr	-1.9084791	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	PM-PPr	-0.3039377	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	PM-PPr	-0.36660823	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	PM-PPr	-1.1757944	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
13	PM-PPr	-1.3075895	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
14	PM-PPr	-0.23144221	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	PM-PPr	-0.2007588	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	dATN-B	-0.064781785	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	dATN-B	-0.12196338	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	dATN-B	0.23547041	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	dATN-B	0.30630216	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	dATN-B	0.22585419	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
