subject	parcel	z_value	domain	contrast_name	dtype
14	AUD	0.031893123	Sentence_Processing	SENTmCTRL	fusion
15	AUD	0.4869064	Sentence_Processing	SENTmCTRL	fusion
2	PM-PPr	-0.34052062	Sentence_Processing	SENTmCTRL	fusion
3	PM-PPr	-0.6967655	Sentence_Processing	SENTmCTRL	fusion
4	PM-PPr	0.12414167	Sentence_Processing	SENTmCTRL	fusion
6	PM-PPr	-0.078111485	Sentence_Processing	SENTmCTRL	fusion
7	PM-PPr	0.24852851	Sentence_Processing	SENTmCTRL	fusion
8	PM-PPr	0.66060424	Sentence_Processing	SENTmCTRL	fusion
9	PM-PPr	0.8262893	Sentence_Processing	SENTmCTRL	fusion
12	PM-PPr	0.29894513	Sentence_Processing	SENTmCTRL	fusion
13	PM-PPr	1.2937897	Sentence_Processing	SENTmCTRL	fusion
14	PM-PPr	-0.7843674	Sentence_Processing	SENTmCTRL	fusion
15	PM-PPr	-0.07471873	Sentence_Processing	SENTmCTRL	fusion
2	dATN-B	-1.1736313	Sentence_Processing	SENTmCTRL	fusion
3	dATN-B	-0.9262711	Sentence_Processing	SENTmCTRL	fusion
4	dATN-B	-0.26457867	Sentence_Processing	SENTmCTRL	fusion
6	dATN-B	-0.95427793	Sentence_Processing	SENTmCTRL	fusion
7	dATN-B	-0.57366425	Sentence_Processing	SENTmCTRL	fusion
8	dATN-B	-0.006665603	Sentence_Processing	SENTmCTRL	fusion
9	dATN-B	-0.9664389	Sentence_Processing	SENTmCTRL	fusion
12	dATN-B	0.100304365	Sentence_Processing	SENTmCTRL	fusion
13	dATN-B	0.15792812	Sentence_Processing	SENTmCTRL	fusion
14	dATN-B	-1.6121597	Sentence_Processing	SENTmCTRL	fusion
15	dATN-B	0.7505625	Sentence_Processing	SENTmCTRL	fusion
2	SMOT-A	-0.07332204	Sentence_Processing	SENTmCTRL	fusion
3	SMOT-A	-0.107739255	Sentence_Processing	SENTmCTRL	fusion
4	SMOT-A	0.22263592	Sentence_Processing	SENTmCTRL	fusion
6	SMOT-A	0.5217031	Sentence_Processing	SENTmCTRL	fusion
7	SMOT-A	0.1200605	Sentence_Processing	SENTmCTRL	fusion
8	SMOT-A	0.48412687	Sentence_Processing	SENTmCTRL	fusion
9	SMOT-A	1.6636895	Sentence_Processing	SENTmCTRL	fusion
12	SMOT-A	0.64305246	Sentence_Processing	SENTmCTRL	fusion
13	SMOT-A	1.0684942	Sentence_Processing	SENTmCTRL	fusion
14	SMOT-A	-0.9066943	Sentence_Processing	SENTmCTRL	fusion
15	SMOT-A	0.018052261	Sentence_Processing	SENTmCTRL	fusion
2	LANG	2.7924893	Sentence_Processing	SENTmCTRL	fusion
3	LANG	2.5618758	Sentence_Processing	SENTmCTRL	fusion
4	LANG	1.883647	Sentence_Processing	SENTmCTRL	fusion
6	LANG	5.4428105	Sentence_Processing	SENTmCTRL	fusion
7	LANG	1.848567	Sentence_Processing	SENTmCTRL	fusion
8	LANG	3.0923681	Sentence_Processing	SENTmCTRL	fusion
9	LANG	2.1289632	Sentence_Processing	SENTmCTRL	fusion
12	LANG	2.0181065	Sentence_Processing	SENTmCTRL	fusion
13	LANG	2.3810346	Sentence_Processing	SENTmCTRL	fusion
14	LANG	1.8828334	Sentence_Processing	SENTmCTRL	fusion
15	LANG	2.7252653	Sentence_Processing	SENTmCTRL	fusion
2	FPN-B	-1.1698629	Sentence_Processing	SENTmCTRL	fusion
3	FPN-B	-1.2519569	Sentence_Processing	SENTmCTRL	fusion
4	FPN-B	-1.5322313	Sentence_Processing	SENTmCTRL	fusion
6	FPN-B	-1.9336402	Sentence_Processing	SENTmCTRL	fusion
7	FPN-B	-0.6106284	Sentence_Processing	SENTmCTRL	fusion
8	FPN-B	-1.5286045	Sentence_Processing	SENTmCTRL	fusion
9	FPN-B	-1.2731584	Sentence_Processing	SENTmCTRL	fusion
12	FPN-B	-2.0137653	Sentence_Processing	SENTmCTRL	fusion
13	FPN-B	-1.9136922	Sentence_Processing	SENTmCTRL	fusion
14	FPN-B	-0.5912437	Sentence_Processing	SENTmCTRL	fusion
15	FPN-B	-1.2112132	Sentence_Processing	SENTmCTRL	fusion
2	FPN-A	-1.8154497	Sentence_Processing	SENTmCTRL	fusion
