atlas	K	networks	subj	dice	type	strength	spatial_w	first_run	second_run	w/b
fs32k	15	all	6	0.645547091960907	rest	10	0	2	14	within
fs32k	15	all	7	0.5736107230186462	rest	10	0	2	14	within
fs32k	15	all	8	0.6174657940864563	rest	10	0	2	14	within
fs32k	15	all	9	0.6280092000961304	rest	10	0	2	14	within
fs32k	15	all	10	0.6012846827507019	rest	10	0	2	14	within
fs32k	15	all	11	0.6142930388450623	rest	10	0	2	14	within
fs32k	15	all	1	0.586510181427002	rest	10	0	2	15	within
fs32k	15	all	2	0.6420467495918274	rest	10	0	2	15	within
fs32k	15	all	3	0.6393380165100098	rest	10	0	2	15	within
fs32k	15	all	4	0.7018943428993225	rest	10	0	2	15	within
fs32k	15	all	5	0.6673625111579895	rest	10	0	2	15	within
fs32k	15	all	6	0.6426792740821838	rest	10	0	2	15	within
fs32k	15	all	7	0.5940736532211304	rest	10	0	2	15	within
fs32k	15	all	8	0.6184448003768921	rest	10	0	2	15	within
fs32k	15	all	9	0.6522749662399292	rest	10	0	2	15	within
fs32k	15	all	10	0.5841123461723328	rest	10	0	2	15	within
fs32k	15	all	11	0.6355306506156921	rest	10	0	2	15	within
fs32k	15	all	1	0.6308546662330627	rest	10	0	3	4	within
fs32k	15	all	2	0.6300634741783142	rest	10	0	3	4	within
fs32k	15	all	3	0.5976508259773254	rest	10	0	3	4	within
fs32k	15	all	4	0.7188308835029602	rest	10	0	3	4	within
fs32k	15	all	5	0.7006264925003052	rest	10	0	3	4	within
fs32k	15	all	6	0.6719896793365479	rest	10	0	3	4	within
fs32k	15	all	7	0.6184297800064087	rest	10	0	3	4	within
fs32k	15	all	8	0.6891081929206848	rest	10	0	3	4	within
fs32k	15	all	9	0.6635202169418335	rest	10	0	3	4	within
fs32k	15	all	10	0.6064580082893372	rest	10	0	3	4	within
fs32k	15	all	11	0.6323370337486267	rest	10	0	3	4	within
fs32k	15	all	1	0.6313354969024658	rest	10	0	3	5	within
fs32k	15	all	2	0.5973886251449585	rest	10	0	3	5	within
fs32k	15	all	3	0.6431546807289124	rest	10	0	3	5	within
fs32k	15	all	4	0.7260279655456543	rest	10	0	3	5	within
fs32k	15	all	5	0.7195799946784973	rest	10	0	3	5	within
fs32k	15	all	6	0.6565728783607483	rest	10	0	3	5	within
fs32k	15	all	7	0.612137496471405	rest	10	0	3	5	within
fs32k	15	all	8	0.6799963712692261	rest	10	0	3	5	within
fs32k	15	all	9	0.6277025938034058	rest	10	0	3	5	within
fs32k	15	all	10	0.5986517667770386	rest	10	0	3	5	within
fs32k	15	all	11	0.6478533744812012	rest	10	0	3	5	within
fs32k	15	all	1	0.5930284261703491	rest	10	0	3	6	within
fs32k	15	all	2	0.6369423270225525	rest	10	0	3	6	within
fs32k	15	all	3	0.6342969536781311	rest	10	0	3	6	within
fs32k	15	all	4	0.7202248573303223	rest	10	0	3	6	within
fs32k	15	all	5	0.686539351940155	rest	10	0	3	6	within
fs32k	15	all	6	0.6515595316886902	rest	10	0	3	6	within
fs32k	15	all	7	0.630810022354126	rest	10	0	3	6	within
fs32k	15	all	8	0.6645157337188721	rest	10	0	3	6	within
fs32k	15	all	9	0.7079463601112366	rest	10	0	3	6	within
fs32k	15	all	10	0.6254456639289856	rest	10	0	3	6	within
fs32k	15	all	11	0.7010387778282166	rest	10	0	3	6	within
fs32k	15	all	1	0.6050372123718262	rest	10	0	3	7	within
fs32k	15	all	2	0.6111501455307007	rest	10	0	3	7	within
fs32k	15	all	3	0.6524010300636292	rest	10	0	3	7	within
fs32k	15	all	4	0.7064210772514343	rest	10	0	3	7	within
fs32k	15	all	5	0.6631940603256226	rest	10	0	3	7	within
fs32k	15	all	6	0.6464841961860657	rest	10	0	3	7	within
fs32k	15	all	7	0.6095297932624817	rest	10	0	3	7	within
fs32k	15	all	8	0.6840089559555054	rest	10	0	3	7	within
fs32k	15	all	9	0.6288329362869263	rest	10	0	3	7	within
fs32k	15	all	10	0.6020255088806152	rest	10	0	3	7	within
fs32k	15	all	11	0.6457133293151855	rest	10	0	3	7	within
fs32k	15	all	1	0.6424834132194519	rest	10	0	3	8	within
fs32k	15	all	2	0.6180565357208252	rest	10	0	3	8	within
fs32k	15	all	3	0.6273254156112671	rest	10	0	3	8	within
fs32k	15	all	4	0.7150624990463257	rest	10	0	3	8	within
fs32k	15	all	5	0.6857478022575378	rest	10	0	3	8	within
fs32k	15	all	6	0.6256639361381531	rest	10	0	3	8	within
fs32k	15	all	7	0.6040396690368652	rest	10	0	3	8	within
fs32k	15	all	8	0.6558923721313477	rest	10	0	3	8	within
fs32k	15	all	9	0.6234481930732727	rest	10	0	3	8	within
fs32k	15	all	10	0.6130869388580322	rest	10	0	3	8	within
fs32k	15	all	11	0.6046072244644165	rest	10	0	3	8	within
fs32k	15	all	1	0.6278970241546631	rest	10	0	3	9	within
fs32k	15	all	2	0.6315683126449585	rest	10	0	3	9	within
fs32k	15	all	3	0.648348867893219	rest	10	0	3	9	within
fs32k	15	all	4	0.6688732504844666	rest	10	0	3	9	within
fs32k	15	all	5	0.6724791526794434	rest	10	0	3	9	within
fs32k	15	all	6	0.6367167234420776	rest	10	0	3	9	within
fs32k	15	all	7	0.6118862628936768	rest	10	0	3	9	within
fs32k	15	all	8	0.61308753490448	rest	10	0	3	9	within
fs32k	15	all	9	0.6389737725257874	rest	10	0	3	9	within
fs32k	15	all	10	0.6359137296676636	rest	10	0	3	9	within
fs32k	15	all	11	0.6077104210853577	rest	10	0	3	9	within
fs32k	15	all	1	0.6650412082672119	rest	10	0	3	10	within
fs32k	15	all	2	0.6482159495353699	rest	10	0	3	10	within
fs32k	15	all	3	0.6351476311683655	rest	10	0	3	10	within
fs32k	15	all	4	0.7112755179405212	rest	10	0	3	10	within
fs32k	15	all	5	0.6640723347663879	rest	10	0	3	10	within
fs32k	15	all	6	0.6493327021598816	rest	10	0	3	10	within
fs32k	15	all	7	0.6386625170707703	rest	10	0	3	10	within
fs32k	15	all	8	0.6269956231117249	rest	10	0	3	10	within
fs32k	15	all	9	0.6587909460067749	rest	10	0	3	10	within
fs32k	15	all	10	0.6279404163360596	rest	10	0	3	10	within
fs32k	15	all	11	0.6324536800384521	rest	10	0	3	10	within
fs32k	15	all	1	0.6212390065193176	rest	10	0	3	11	within
fs32k	15	all	2	0.6231826543807983	rest	10	0	3	11	within
fs32k	15	all	3	0.62122642993927	rest	10	0	3	11	within
fs32k	15	all	4	0.7080527544021606	rest	10	0	3	11	within
fs32k	15	all	5	0.7131180167198181	rest	10	0	3	11	within
fs32k	15	all	6	0.6255175471305847	rest	10	0	3	11	within
fs32k	15	all	7	0.5649638772010803	rest	10	0	3	11	within
fs32k	15	all	8	0.6498212814331055	rest	10	0	3	11	within
fs32k	15	all	9	0.6139172911643982	rest	10	0	3	11	within
